City full name,City short name,Country,Region,Population year,Population,CDP reporting year,Access,Scale,Energy types covered by target, Base year,Base year total renewable energy covered by target (in unit specified in column 2),Base year percentage renewable energy of total energy or electricity,Target year,Target year total renewable energy covered by target (in unit specified in column 2),Target year percentage renewable energy of total energy,Plans to meet target (include details on types of energy),City location,Water 2014 - Number of drivers
Greater Manchester,Manchester,United Kingdom,Europe,2014,2762000,2015,Public,City-wide,Renewable electricity,,,,2020,114,,"small scale hydro, wind, photovoltaics, ASHP, GSHP, biomass,","(53.4575955, -2.1578377)",
City of Columbus,Columbus,USA,North America,2014,835957,2015,Public,City-wide,Renewable electricity,,,,2020,,10,"Note- we do not have a breakdown of energy source for the city- we only have statewide data from the PUCO. In 2013, 4% of electricity consumed in Ohio was generated from renewables (133.2 trillion Btu of 3,328 trillion Btu consumed)","(39.9611755, -82.9987942)",46
Kolkata Metropolitan Area,Kolkata,India,South and West Asia,2011,14030000,2016,Public,City-wide,Renewable electricity,,,,2020,2706,,,"(22.5726, 88.3639)",
City of Las Vegas,Las Vegas,USA,North America,2016,621970,2016,Public,City-wide,Renewable energy,,,,2025,120,25,"Required by Nevada Revised Statutes (NRS 701B). NV Energy - the state's investor owned utility, completed a 500 kV transmission line connection north and south grids in Nevada allowing renewable energy to flow back and florth. Currently, there is 1100 MW of renewables and portfolio credits come from geothermal (71%), solar (18%), wind (7%), hydro (1%), and biomass/waste heat (3%) and meet state requirements. Current Nevada RPS is 20.4% in Southern Nevada.","(36.1699412, -115.1398296)",59
Taipei City Government,Taipei City,Taiwan,East Asia,2015,2704810,2017,Public,City-wide,All renewable electricity consumed (in MWh),2015,487226,3,2050,10,10,"Develop solar PV system, landfill biogas power generation and biomass renewable energy","(25.037525, 121.563782)",
City of Alba-Iulia,Alba-Iulia,Romania,Europe,2011,63536,2016,Public,City-wide,Renewable electricity,,,,2020,12005,4,"photovoltaic, wind energy, biogas, cogeneration of heat and electricity.","(46.082337, 23.569027)",43
Greater Manchester,Manchester,United Kingdom,Europe,2014,2762000,2017,Public,City-wide,Renewable energy,,,,2050,,100,See section 6 for detailed plans. Most Authorities in GM have adopted a 100% clean energy by 2050 target.,"(53.4575955, -2.1578377)",
Seoul Metropolitan Government,Seoul ,South Korea,East Asia,2015,10297138,2016,Public,City-wide,Renewable energy,,,,2016,,10,"Total: 1218 TOE Solar Power: 54000TOE, Fuel Cell: 589000TOE, Recovery energy: 254000TOE,Micro-CHP generation: 38000TOE","(37.566535, 126.9779692)",85
Tokyo Metropolitan Government,Tokyo,Japan,East Asia,2015,13513734,2017,Public,City-wide,All renewable electricity consumed (in MWh),,,,2030,,30,"Astions;·Expansion of solar energy to houses, etc.·Promotion of use of urban renewable energy such as biomass energy and small hydroelectric energy·Expansion of local production for local consumprion of renewabvle energy·Establish the system in which consumers can choose clean energy·Enhance climate actions with businesses and households·Promote solar heat and thermal energy and raise public awareness·Promote CHP and expand energy management system","(35.6896342, 139.6921007)",
City of Athens,Athens,Greece,Europe,2011,664046,2017,Public,City-wide,Total installed capacity of renewable electricity (in MW),2014,2,0,2030,20,1,Installation of PV on roofs of municipal and residential buildings (approx. 4.000 installations of 5KWp),"(37.98381, 23.727539)",
"City of Columbia, SC","Columbia, SC",USA,North America,2014,133358,2017,Public,City-wide,All renewable energy consumed (in MWh),2016,2050,0,2050,0,100,Still working on this. Our mayor recently joined as a co-chairman the Sierra Club's Ready for 100 and committed to 100% clean and renewable energy for Columbia by 2050.,"(34.0007, -81.0348)",
City of Lagos,Lagos,Nigeria,Africa,2016,21000000,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2014,5,12.5,2020,,,The renewable energy policy hasn't been concluded,"(6.524379, 3.379206)",
Inje County,Inje ,South Korea,East Asia,2015,33255,2016,Public,City-wide,Renewable energy,,,,2025,189,20,"Following the establishment of 2045 plan for energy independence, local proliferation of photovoltaic, solar, thermal, and hydroelectric power stations","(38.069468, 128.170699)",85
City of Boston,Boston,USA,North America,2013,646000,2017,Public,City-wide,Total installed capacity of renewable electricity (in MW),,,,2020,25,,Capacity goal of 25 MW,"(42.3584308, -71.0597732)",
City of Melbourne,Melbourne,Australia,South Asia and Oceania,2016,137889,2017,Public,City-wide,,,720,,2018,720,25,The city is piloting a purchasing model enabling large customers to buy renewable energy from new upstream renewable plant through long term contracts. This model will be replicated once piloted.The City has also provided rebates and other assistance to residential houses and apartment buildings to install solar on their buildings. A solar program aimed at commercial buildings owners in the municipality is currently being implemented. The City has provided rebates to businesses to install solar systems on their buildings. This program aims to install 20MW of solar within the municipality.,"(-37.814107, 144.96328)",
Canberra,Canberra,Australia,South Asia and Oceania,2016,400000,2015,Public,City-wide,Renewable electricity,,,,2020,490,90,"To meet the 90% renewable electricity target the ACT Government will require approximately: 91MW of solar capacity; 382MW of wind generation capacity and up to 20MW of energy from waste generation capacity.To date, the ACT Government has signed agreements with renewable electricity generators for the construction of 40MW of solar capacity and 200MW of wind capacity.76% of target will be achieved through the provision of feed-in tariffs for large and small renewable energy generating capacity.22% of target will be achieved through ACT participation in the national Renewable Energy Target scheme. 2% of target will be achieved through voluntary purchases of renewable electricity (GreenPower) by ACT electricity consumers.The costs of all three parts are ultimately financed by ACT electricity consumers.","(-35.3075, 149.1244)",228
"City of Fayetteville, AR","Fayetteville, AR",USA,North America,2016,82830,2017,Public,City-wide,All renewable electricity consumed (in MWh),2010,0,0,2050,,100,,"(36.082156, -94.171854)",46
Gemeente Rotterdam,Rotterdam,Netherlands,Europe,2014,624000,2015,Public,City-wide,Renewable energy,,,,2020,150,40,the total of wind energy capacity will grow to 300 MW in the port area and 50 MW on the borders of the city area,"(51.9163716, 4.4509382)",
"City of Davis, CA","Davis, CA",USA,North America,2010,65600,2016,Public,City-wide,Renewable electricity,,,,2020,58,50,Local distributed generation.,"(38.544907, -121.740517)",71
The Hague,The Hague,Netherlands,Europe,2013,506366,2017,Public,City-wide,All renewable energy consumed (in MWh),2013,6600000,,2040,,100,,"(52.070498, 4.3007)",
City of Paris,Paris,France,Europe,2015,2265886,2017,Public,City-wide,All renewable energy consumed (in MWh),2004,4000000,10,2020,7500000,25,"for renewable or recovered energy in energy community consumption. (The main renewable energy sources encouraged within the Parisian territory are geothermal and solar. Renewable energies from networks are also taken into account with electricity (mainly hydroelectricity and offshore wind from the French territory) and urban heat (biomass, geothermal, waste incineration from the Parisian region).)","(48.856614, 2.3522219)",44
Inje County,Inje ,South Korea,East Asia,2015,33255,2016,Public,City-wide,Renewable energy,,,,2035,380,33,"Following the establishment of 2045 plan for energy independence, local proliferation of photovoltaic, solar, thermal, and hydroelectric power stations","(38.069468, 128.170699)",85
Suwon city,Suwon ,South Korea,East Asia,2015,1221973,2016,Public,City-wide,Renewable energy,,,,2016,15,1,"·Spreading photovoltaic power sources on public and private offices, supermarkets, and shopping malls ·Installing Solar Power Stations (RPS)·Operating public services such as Solar Power Co-op Centers that benefit low-income areas","(37.2635727, 127.0286009)",
Salt Lake City,Salt Lake City,USA,North America,2014,190884,2015,Public,City-wide,Renewable energy,,,,2015,10,0.4,Solar deployment and implementation plan and activities.,"(40.7608, -111.891)",
City of Turku,Turku,Finland,Europe,2015,186000,2017,Public,City-wide,All renewable energy produced (in MWh),2014,,32,2020,1557000,50,"Turku Energia, the leading power supplier in Southwest Finland, has set a renewable energy target of 50 % in both electricity and district heating in 2020. The company is owned by the City of Turku and has a certified management system including systems for operations, environment and occupational health and safety (ISO 9001, ISO 14001 and OHSAS 18001). In 2014, 1247 GWh electricity and 1867 GWh heat was sold by the company.","(60.4518126, 22.2666303)",
City of Porto,Porto,Portugal,Europe,2011,238954,2017,Public,City-wide,All renewable energy produced (in MWh),2004,1,,2020,,3,Photovoltaic electricity.,"(41.1579438, -8.6291053)",63
City of Oakland,Oakland,USA,North America,2015,431500,2015,Public,City-wide,Renewable electricity,,,,2020,46,,"Facilitate Community Solar Programs-Community solar programs are traditionally administered by utilities, and PG&E is launching a community solar program available to Oakland residents beginning in October 2015.Encourage PG&E to Offer Green Power Options-The City is participating in the Countywide CCA formation, which will increase the green power options for local residents.  The City continues to be supportive of proposals to increase the renewable mix in PG&E energy","(37.8044, -122.2708)",
City of Nagoya,Nagoya,Japan,East Asia,2015,2274511,2016,Public,City-wide,Renewable energy,,,,2020,370,,260MW????????????????100MW???????????????????????????10MW?????????????????????370MW??????,"(35.181446, 136.906398)",
Ayuntamiento de San Luis Potosí,San Luis Potosí,Mexico,Latin America,2015,824229,2015,Public,City-wide,Renewable electricity,,,,2014,81,1,1.34% of the total national energy.,"(22.173333, -100.97005)",
City of Chicago,Chicago,USA,North America,2013,2719000,2017,Public,City-wide,All renewable energy consumed (in MWh),2008,,,2025,,25,"City goals align with the State of Illinois Renewable Portfolio Standard, which is 25% by compliance year 2025-2026.","(41.8781136, -87.6297982)",42
"City of Richmond, CA","Richmond, CA",USA,North America,2013,107571,2017,Public,City-wide,Renewable energy,,,,2030,,87,In partnership with MCE supply at least 87% of community electricity from sources that are 95% renewable; PG&E will supply the remainder of community electricity from sources that are at least 50% renewable. The City of Richmond has already joined MCE and has been a member since 2013.,"(37.9358, -122.3477)",
City of Santa Monica,Santa Monica,USA,North America,2014,92000,2016,Public,City-wide,Renewable electricity,,,,2020,7,5,Provide technical assistance and outreach to community.,"(34.0219, -118.4814)",
Gemeente Groningen,Groningen,Netherlands,Europe,2011,189991,2017,Public,City-wide,All renewable electricity produced (in MWh),2016,12750,1.5,2035,10,100,500 MW of installed capacity solar energy,"(53.232386, 6.551335)",
City of Pietermaritzburg,Pietermaritzburg,South Africa,Africa,2011,618536,2017,Public,City-wide,Renewable energy,,,30,2030,,30,"Msunduzi has widespread use for renewable energy supplies, including but not limited to: solar, wind, and hydro power. The citycontinually increases investment in delivering more sustainableenergy technologies. Businesses use energy efficiently prioritizinglow carbon emission sources. Alternative energy sources are mainstreamed in new human settlement development for all communities and energy efficiency required in building plans. By 2030, Msunduzi is a city serviced with quality water and sanitation reticulation, uninterrupted, adequate energy supply, and regular waste removal - for ALL neighbourhoods, communities, and centres of business. - 30% of Msunduzi’s electricity demand is met by renewable sources.-20% of liquid energy is derived from bio-fuel.-50% of new commercial or industrial development incorporates some form of renewable energy technology usage in its design and construction.-80% of new human settlement development incorporates some form of renewable energy technology usage in its design and construction.- 80% of new human settlement development incorporates some form of renewable energy technology usage in its design and construction.- 100% of building plans approved have due consideration for energy efficiency.","(-29.600607, 30.379412)",
City of Lisbon,Lisbon,Portugal,Europe,2011,547773,2017,Public,City-wide,All renewable energy produced (in MWh),2014,3945,0.1,2030,17,17,"The target is based on the evaluation of Solar Potencial Chart developed by the Energy Agency, Lisboa E-Nova, for all buildings of Lisbon.Only good sun exposure areas were considered.","(38.7222524, -9.1393366)",80
Inje County,Inje ,South Korea,East Asia,2015,33255,2016,Public,City-wide,Renewable energy,,,,2020,100,12,"Following the establishment of 2045 plan for energy independence, local proliferation of photovoltaic, solar, thermal, and hydroelectric power stations","(38.069468, 128.170699)",85
City of Sydney,Sydney,Australia,South Asia and Oceania,2015,205339,2017,Public,City-wide,All renewable electricity consumed (in MWh),2005,415944,5,2030,1351606,50,"The renewable electricity target incorporates renewable electricity both within the grid and classified as additional to the grid - Encourage renewable energy through our planning controls - Invest up to $10 million to accelerate the uptake of renewable energy by our local businesses and residents, with preference for local sources where feasible.The City is also exploring opportunities to facilitate renewable energy generation projects outside our city. This type of project would be additional to the amount of renewable energy supplied through the federal government’s renewable energy target. Opportunities may include aggregated power purchase agreements, encouraging the use of GreenPower or direct investment in projects.(note: high-level estimate based on 50% of future estimated electricity load by 2030)","(-33.8674869, 151.2069902)",
Comune di Firenze,Firenze,Italy,Europe,2012,361679,2017,Public,City-wide,All renewable electricity consumed (in MWh),2005,324450,15.4,2030,948000,45,national mix + local production + green electricity purchase,"(43.7696, 11.2558)",
District of Columbia,District of Columbia,USA,North America,2015,672228,2017,Public,City-wide,All renewable electricity consumed (in MWh),2012,25,8,2032,2418840,50,"In 2005, the District enacted the Renewable Portfolio Standard, which requires electricity providers to source a portion of their energy from renewables. The RPS standard, which was updated in 2008, 2011, and 2016 currently requires utility providers to source 50% of their energy from Tier 1 renewable sources and 5% from locally generated solar energy by 2032. The 2016 amendment, known as the Renewable Portfolio Standard Expansion Amendment Act of 2016 also created a funding mechanism for the Solar for All program, which establishes a goal of putting solar on 100,000 low income households in the District.","(38.9071923, -77.0368707)",
Amiens Métropole,Amiens Métropole,France,Europe,2014,175000,2016,Public,City-wide,Renewable energy,,,,2020,,,"biomasse, géothermie, récupération de chaleur sur eaux grises...","(49.894067, 2.295753)",
Comune di Firenze,Firenze,Italy,Europe,2012,361679,2017,Public,City-wide,All renewable energy consumed (in MWh),2005,0,0,2050,393684,10,"solar, hydro and biofuels","(43.7696, 11.2558)",
City of Copenhagen,Copenhagen,Denmark,Europe,2015,591481,2017,Public,City-wide,Renewable energy,,,,2025,,25,"CPH Climate Plan; 20-30 % of all light vehicles use fuels like electricity, hydrogen, biogas or bioethanol","(55.6760968, 12.5683371)",
City of Oakland,Oakland,USA,North America,2015,431500,2016,Public,City-wide,Renewable electricity,,,,2020,57945,3,"Facilitate Community Solar Programs-Community solar programs are traditionally administered by utilities, and PG&E is launching a community solar program available to Oakland residents beginning in October 2015.Encourage PG&E to Offer Green Power Options-The City is participating in the Countywide CCA formation, which will increase the green power options for local residents.  The City continues to be supportive of proposals to increase the renewable mix in PG&E energy","(37.8044, -122.2708)",
New Taipei City Government,New Taipei ,Taiwan,East Asia,2014,3966818,2017,Public,City-wide,Total installed capacity of renewable electricity (in MW),2010,13137,6,2025,100,12,Develop solar PV (photovoltaic) system and other renewable energy by organizing an one-stop service.,"(25.0111, 121.4458)",
City of Cape Town,Cape Town,South Africa,Africa,2014,3918830,2016,Public,City-wide,Renewable energy,,,,2020,220,10,Priority projects related to this target include supporting large-scale renewable energy supply and small-scale embedded generation projects. The City plans to mass roll-out solar water heaters and to generate energy from its landfills and wastewater treatment facilities.,"(-33.9253, 18.4239)",
Moscow Government,Moscow ,Russia,Europe,2015,12197596,2017,Public,City-wide,,,,,2020,,4,"Biogas CHP and heating, solar water heating, solar PV, small wind turbines","(55.755826, 37.6173)",16
City of Toronto,Toronto,Canada,North America,2011,2753100,2016,Public,City-wide,Renewable energy,,,,2050,,5,"Displace 200 Mm3 of natural gas  through geo-thermal heating, solar hot water, solar air and biogas and biomass","(43.653226, -79.3831843)",42
City of Yokohama,Yokohama,Japan,East Asia,2015,3719589,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2013,187,,2030,589,,target year total: 589solar power: 330 wind power: 4 water power:1 waste: 94,"(35.4437078, 139.6380256)",
Ville de Monaco,Monaco,Monaco,Europe,2014,37800,2017,Public,City-wide,All renewable energy consumed (in MWh),,,,2020,,20,Energy Climate Plan (by increasing the use of different types of renewable enregies),"(43.737411, 7.420816)",
Gladsaxe Kommune,Gladsaxe Kommune,Denmark,Europe,2014,66656,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2010,50,7,2035,500,100,Energy savingsExpansion of CO2-neutrale district heating supplySolar cells and solar panelsGeothermal energy (hot water undergroundfor district heating supply)Energy consumption for transportation is not included in the 2035 forecast.,"(55.733461, 12.488686)",
City of Copenhagen,Copenhagen,Denmark,Europe,2015,591481,2017,Public,City-wide,Renewable energy,,360,,2025,,,CPH Climate Plan; wind mills,"(55.6760968, 12.5683371)",
City of Las Vegas,Las Vegas,USA,North America,2016,621970,2017,Public,City-wide,All renewable electricity consumed (in MWh),1997,0,1,2025,21.2,25,"Required by Nevada Revised Statutes (NRS 701B). NV Energy - the state's investor owned utility, completed a 500 kV transmission line connection north and south grids in Nevada allowing renewable energy to flow back and forth. Currently, there is 1900 MW of renewables and portfolio credits come from geothermal, solar, wind, hydro, and biomass/waste heat and meet state requirements. Current Nevada RPS is 21% in Southern Nevada and 24% statewide. NV Energy is also completely divesting itself of coal and has shut down the last coal-fired power plant in Southern Nevada in early 2017.","(36.1699412, -115.1398296)",59
"City of Alton, IL","Alton, IL",USA,North America,2015,26581,2016,Public,City-wide,Renewable electricity,,,,Other,1000000,23,"The City aggregates its electricity for all residential and very small business accounts.  The source of energy is 100% renewable and is wind generated.  The correct figure is 127,400,000.","(38.890604, -90.184276)",46
Ho Chi Minh City,Ho Chi Minh,Vietnam,South Asia and Oceania,2015,8244400,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),,,,2020,,2,,"(10.762622, 106.660172)",144
City of Porto,Porto,Portugal,Europe,2011,238954,2017,Public,City-wide,All renewable energy produced (in MWh),2004,6,,2020,,22,Cogeneration plant using biomass. This number corresponds to the renewable electricity production,"(41.1579438, -8.6291053)",63
"City of Denton, TX","Denton, TX",USA,North America,2015,131044,2017,Public,City-wide,All renewable electricity consumed (in MWh),2015,515927,43.7,2019,1137500,70,"After years of research, DME came to the conclusion that building a natural gas plant is the best option for securing our Renewable Energy targets. The proposed Denton Energy Center will enable DME to provide 70% renewable energy to residents by generating the on-demand power necessary to sustain production gaps that naturally occur with renewable energy sources. Projected energy sources are as follows; Renewables = 70% (52% Wind, 17% Solar, 1% Landfill Gas); Market Mix = 17%; Quick Start Natural Gas Plant = 13%.","(33.214841, -97.133068)",
"City of London, ON","London, ON",Canada,North America,2014,375000,2017,Public,City-wide,Total installed capacity of renewable electricity (in MW),2012,3,,2018,10,,Note that London's goals are to increase local generation overall (renewables and combined heat & power) - see London's Community Energy Action Plan for more details.,"(42.9837, -81.2497)",42
Seoul Metropolitan Government,Seoul ,South Korea,East Asia,2015,10297138,2016,Public,City-wide,Renewable electricity,,,,2020,1890,20,Solar Power: 200MWFuel Cell: 300MWDistrict Heat: 352MWOthers: 800MW,"(37.566535, 126.9779692)",85
City of Iowa City,Iowa ,USA,North America,2015,73415,2017,Public,City-wide,All renewable energy produced (in MWh),2010,,,2025,,,"Our utility provider for electricity is MidAmerican Energy, which is the top producer of wind in the nation. The current percentage of wind was 35% in 2015, was 60% at the end of 2016 and plans are by the end of 2019 to be 89% renewable electricity. Numbers above are for MidAmerican and do not take into account the University of Iowa power plant. The University recently made a commitment to be 100% coal free by 2025 and is replacing coal with biomass.","(41.6611, -91.5302)",46
City of Oslo,Oslo,Norway,Europe,2016,658390,2017,Public,City-wide,Renewable energy,2009,1433,100,2016,1700,100,Fossil-free district heating.The provider of district heating (the municipality is the majority owner) is working to meet the requirements from the municipality to be fossil free in a normal year.,"(59.9138688, 10.7522454)",13
Singapore Government,Singapore ,Singapore,South Asia and Oceania,2015,5500000,2017,Public,City-wide,All renewable electricity produced (in MWh),Other: absolute target for solar generation in 2020,,,2020,350,5,"In 2014, Singapore announced our plans to raise the adoption of solar power in our system to 350 MWp by 2020, which is roughly equivalent to 5% of 2020 peak electricity demand, and launch the SolarNova programme to coordinate and aggregate demand for solar deployment across Government buildings and spaces to contribute towards this plan.From the research, development and demonstration (RD&D) angle, Singapore has been investing heavily in solar photovoltaics, in particular to customise solar panels for tropical climate, finding innovative space solutions for solar installations in densely populated environment, reducing the cost of solar PV and test-bedding other innovative energy technologies and business models. The National Climate Change Secretariat (NCCS) and the National Research Foundation (NRF) has commissioned a technology roadmap in Solar PV, together with the Energy Market Authority (EMA) and the Economic Development Board (EDB) which charts out the RDD & deployment strategy for solar PV for the medium to long term. The Energy Innovation Programme Office has also been actively investing in solar research since 2007 and has established the Solar Energy Research Institute of Singapore (SERIS) which is a leading research institute in Asia. We will continue to support the use of renewables by continuing to test-bed innovative energy technologies and business models. An example is the deployment of floating photovoltaics on reservoirs to overcome land constraints. In 2016, Singapore launched the world’s largest floating solar PV cell test-bed measuring 1ha with a capacity of 1MWp on a local reservoir.","(1.352083, 103.819836)",
City of Adelaide,Adelaide,Australia,South Asia and Oceania,2015,23169,2017,Public,City-wide,All renewable electricity produced (in MWh),,,,2025,,50,"In 2015-16, approximately 43% of electricity produced in South Australia was supplied from renewable energy sources. Currently, electricity in South Australia is generated from renewable and non-renewable sources: natural gas, wind and rooftop photovoltaics systems with some import of electricity from Victoria via the interconnector.The Low Carbon Investment Plan for South Australia has outlined an approach to achieve $10 billion of investment in low carbon energy generation by 2025. This is supported by clear policy and efficient regulatory environment, with e.g. the South Australian Government implementing the Pastoral Land Management andConservation (Renewable Energy) Amendment Act2015 to allow wind farms, pastoral activity and resourceexploration to co-exist on Crown land used for pastoralpurposes and also expedite solar developments. This plan stands alongside South Australia’s Climate Change Strategy 2015-2050, which outlines the State Government’s aspirations for a low carbon, resilient economy.The Carbon Neutral Adelaide Action Plan 2016-2021 includes a measure of success to have 15 MW of total installed capacity of solar PV in the city by 2021. This will be achieved by the following actions: - Providing incentives for the installation of renewable energy and energy storage systems in city buildings.- Delivering a renewable energy bulk purchase scheme, including consideration of community energy and virtual metering models by 2018. - The Solar Savers Adelaide Program.- Supporting and encouraging large scale grid connected energy storage in South Australia.- Entering into direct power purchase agreements for the supply of low carbon and renewable electricity for use in Government and Council operations.","(-34.928499, 138.600746)",228
Comune di Bologna,Bologna,Italy,Europe,2014,386181,2016,Public,City-wide,Renewable electricity,,,,2020,20,,PV + Biogas and + Biofuel + Solar Thermal and Heat Pump,"(44.4856087, 11.3547975)",
City of Brasília,Brasília,Brazil,Latin America,2015,1409671,2016,Public,City-wide,Renewable electricity,,,,2020,60,5,distributed generation photovoltaic solar energy and energy efficiency through Brasilia Solar Program implementation,"(-15.794229, -47.882166)",213
Inje County,Inje ,South Korea,East Asia,2015,33255,2016,Public,City-wide,Renewable electricity,,,,2020,100,23,"Following the establishment of 2045 plan for energy independence, local proliferation of photovoltaic, solar, thermal, and hydroelectric power stations","(38.069468, 128.170699)",85
Canberra,Canberra,Australia,South Asia and Oceania,2016,400000,2016,Public,City-wide,Renewable electricity,,,,2020,490,100,"To meet the 100% renewable electricity target the ACT Government will require approximately 640MW of large-scale renewable energy generation capacity directly contracted by the Territory as well as rooftop solar and the ACT’s share of national renewable energy and voluntary purchases. To date, the ACT Government has signed agreements with renewable electricity generators for the construction of 40MW of solar capacity and 400MW of wind capacity.•	76% of target will be achieved through the provision of feed-in tariffs for large renewable energy generating capacity.•	20% of target will be achieved through ACT participation in the national Renewable Energy Target scheme. •	1% of target will be achieved through voluntary purchases of renewable electricity (GreenPower) by ACT electricity consumers.•	3% of target will be achieved through ACT generation of rooftop solar electricityThe costs of all renewables are ultimately financed by ACT electricity consumers.","(-35.3075, 149.1244)",228
City of Milwaukee,Milwaukee,USA,North America,2014,599642,2016,Public,City-wide,Renewable electricity,,,,2025,,25,http://city.milwaukee.gov/Climate-Action.htm#.Vz34jscshcY,"(43.0389, -87.9065)",42
Seoul Metropolitan Government,Seoul ,South Korea,East Asia,2015,10297138,2017,Public,City-wide,,,,,2016,,10,"Total: 1218 TOE Solar Power: 54000TOE, Fuel Cell: 589000TOE, Recovery energy: 254000TOE,Micro-CHP generation: 38000TOE","(37.566535, 126.9779692)",85
Gemeente Rotterdam,Rotterdam,Netherlands,Europe,2014,624000,2016,Public,City-wide,Renewable energy,,,,2020,205,5.6,the total of wind energy capacity will grow to 300 MW in the port area and 50 MW on the borders of the city area,"(51.9163716, 4.4509382)",
Hongcheon county,Hongcheon ,South Korea,East Asia,2016,70041,2016,Public,City-wide,Renewable energy,,,,2016,2466000,20,Strive to reduct emission by setting up solar thermal power plants in environmental infra.,"(37.696952, 127.888683)",85
City of Cape Town,Cape Town,South Africa,Africa,2014,3918830,2015,Public,City-wide,Renewable electricity,,,,2020,180,10,"Much of this will be part of the national mixing of electricity which will be purchased from the national utility Eskom. However, plans are being developed to encourage the uptake of embedded PV electricity, and for the City to potentially purchase electricity directly from PV and wind farms in the region.","(-33.9253, 18.4239)",
"City of Columbia, MO","Columbia, MO",USA,North America,2017,119098,2017,Public,City-wide,All renewable energy produced (in MWh),2014,86405,10,2030,,30,"Wind, landfill gas, solar, net meteringThe city plans to generate or purchase electricity generated from eligible renewable energy sources at the following levels:(1) Two (2) percent of electric retail sales (kWhs) by December 31, 2007;(2) Five (5) percent of electric retail sales (kWhs) by December 31, 2012;(3) Fifteen (15) percent of electric retail sales (kWhs) by December 31, 2017; and(4) Twenty-five (25) percent of electric retail sales (kWhs) by December 31, 2022.(5) Thirty (30) percent of electric retail sales (kWhs) by December 31, 2028.A new contract for wind energy from the Crystal Lake Wind Farm became effective January 1, 2017. An additional 27 megawatts of windgeneration should produce around 70,000 megawatt hours of wind energy during 2017. The last generator for the existing building at thelandfill is expected to be installed in late 2018.It is estimated that over 12% of Columbia?s electric portfolio will come from existing renewable resources in 2017. The additional amount needed to reach the 15% goal for 2018 is being researched. Columbia Water & Light staff members will be investigating options for more wind and/or solar energy.","(38.951705, -92.334072)",46
"City of Salem, MA","Salem, MA",USA,North America,2016,42126,2017,Public,City-wide,All renewable energy consumed (in MWh),2016,,,Other,100,100,,"(42.51954, -70.896716)",
"City of Park City, UT","Park City, UT",USA,North America,2012,7873,2017,Public,City-wide,All renewable electricity consumed (in MWh),2016,,14,2032,27803618,100,,"(40.6461, -111.498)",
City of Santa Monica,Santa Monica,USA,North America,2014,92000,2017,Public,City-wide,All renewable electricity produced (in MWh),2015,900000,25,2030,900000,100,Community Choice Aggregation,"(34.0219, -118.4814)",
City of Chicago,Chicago,USA,North America,2013,2719000,2016,Public,City-wide,Renewable energy,,,,Other: TBD,,0,City goals will align with pending adjustments to the State of Illinois Renewable Portfolio Standard.,"(41.8781136, -87.6297982)",42
City of Baltimore,Baltimore,USA,North America,2014,622793,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),,30,,2020,,15,"solar, wind, CHP","(39.2903848, -76.6121893)",
Inje County,Inje ,South Korea,East Asia,2015,33255,2016,Public,City-wide,Renewable energy,,,,2030,298,28,"Following the establishment of 2045 plan for energy independence, local proliferation of photovoltaic, solar, thermal, and hydroelectric power stations","(38.069468, 128.170699)",85
Stadt Zürich,Stadt Zürich,Switzerland,Europe,2014,404783,2017,Public,City-wide,Renewable energy,,,,2050,,80,"According to Energy Masterplan city of Zurich.Large renewable energy projectsIn 2009, with a large majority, voters approved 200 million CHF for wind energy projects.Since then, among other things, ewz has purchased five wind farms in Germany with thirty turbines. Together with municipalities in the canton Vaud, ewz is planning the Mollendruz wind farm in the Swiss Jura Mountains. In order to ascertain the City of Zurich’s geothermal energy potential, ewz drilled to a depth of 2708 meters in the Triemli district in the winter of 2009/10. Hopes that the drilling would discover water-bearing layers from which heat could be extracted very efficiently were not fulfilled. However, the borehole is now being utilised by means of a deep borehole heat exchanger.","(47.3686498, 8.5391825)",38
City of Flagstaff,Flagstaff,USA,North America,2013,68667,2016,Public,City-wide,Renewable energy,,,,2050,,50,"Local solar installations, cogeneration unit, solar thermal installations, wind energy hydroelectric from Hoover Dam.","(35.1992, -111.6311)",59
City of Turku,Turku,Finland,Europe,2015,186000,2016,Public,City-wide,Renewable energy,,,,2020,420,50,"Turku Energia, the leading power supplier in Southwest Finland, has set a renewable energy target of 50 % in both electricity and district heating in 2020. The company is owned by the City of Turku and has a certified management system including systems for operations, environment and occupational health and safety (ISO 9001, ISO 14001 and OHSAS 18001). In 2014, 1247 GWh electricity and 1867 GWh heat was sold by the company.","(60.4518126, 22.2666303)",
Prefeitura da Estância Turística de ITU,Estância Turística de ITU,Brazil,Latin America,2015,167095,2016,Public,City-wide,Renewable electricity,,,,2016,,98,O município já é abastecido com energia hidrelétrica.,"(-23.260123, -47.296084)",213
Free and Hanseatic City of Hamburg,Hamburg,Germany,Europe,2014,1762791,2017,Public,City-wide,Renewable energy,,100,,2020,,,Wind-energy (repowering and new sites),"(53.5510846, 9.9936818)",36
City of Atlanta,Atlanta,USA,North America,2013,443775,2016,Public,City-wide,Renewable electricity,,,,2016,7,1,Install solar panels in unused landfills and implement solirized programs in low income neighborhoods,"(33.7489954, -84.3879824)",
