Scale,Energy / electricity types covered by target ,Base year,Total renewable energy / electricity covered by target in base year (in unit specified in column 2),Percentage renewable energy / electricity of total energy or electricity in base year,Target year,Total renewable energy / electricity covered by target in target year (in unit specified in column 2),Percentage renewable energy / electricity of total energy or electricity in target year,Percentage of target achieved,Plans to meet target (include details on types of energy/electricity),city_full
City-wide,All energy consumed (in MWh),2017,,,2050,,100,,"The City established a goal in 2017 to meet 100 percent of communitywide energy needs with renewable energy by 2050. ""renewable energy"" includes energy derived from hydrogen, wind power sited in ecologically responsible ways, solar, existing and low-impact hydroelectric, geothermal, biogas (including biogas produced from biomass), and ocean/wave technology sources. These sources of energy can have significant public health and other co-benefits that can help address pressing ecological and environmental justice challenges in sensitive ecosystems and communities in Oregon and around the country; and ""Renewable energy"" specifically excludes energy derived from fossil fuels, nuclear, biomass feedstocks sourced from state and federal lands, hydrogen produced from fossil fuels, and incineration of municipal and medical waste; and WHEREAS, any forest biomass energy project requires special consideration to ensure that ecosystem health is not harmed, that the project does not result in increased life-cycle carbon emissions, and that air quality and fish habitat is not degraded; and WHEREAS, renewable energy must also be sustainable, both in terms of the conservation of fish and wildlife habitat and in the promotion of human health and racial, environmental, and economic justice, and therefore reliance on existing hydroelectric power requires special consideration to reduce negative ecological impacts to biological systems dependent on the affected watersheds.","City of Portland, OR"
City-wide,Total installed capacity of renewable electricity (in MW),2015,15,0,2020,30,0,100,"Target met, goal doubled in first 4 years. Installed Solar and Solar Access — Add another 15 megawatts of installed solar photovoltaic capacity. Motivate and assist households and businesses throughout the community to install solar. Revisit City solar access policy and regulations, recognizing changing conditions due to the proliferation of residential rooftop solar energy systems.","City of Portland, OR"
City-wide,,,,,2030,,87,,In partnership with MCE supply at least 87% of community electricity from sources that are 95% renewable; PG&E will supply the remainder of community electricity from sources that are at least 50% renewable. The City of Richmond has already joined MCE and has been a member since 2013.,"City of Richmond, CA"
Local government operations,All energy consumed (in MWh),2005,,25,2035,,,,"The 2007 Sustainability Master Plan established a goal of reducing energy use in local government operations to 25% below 2005 levels by 2030. These goals have been adopted into the city’s?2035 General Plan. ? Please see the 2035 General Plan and the Climate Action Plan for Internal Operations  The General Plan takes several steps to reduce carbon emissions that contribute to climate change and is the City’s action plan for greenhouse gas reductions. Mixed-use development that encourages walking and biking, use of public transit, “green building” practices, use of solar energy systems, architectural design to reduce heat gain, recycled construction materials, and water conservation measures, are some of the strategies included in the 2035 General Plan.  *Important to note: the City just began efforts to update the General Plan, including the Climate Action Plan embedded within it. These activities will take place over the next 1-2 years and will require new/updated climate/sustainability data.",City of Sacramento
Local government operations,All electricity produced (in MWh),2014,,12,2040,,20,,,City of San Antonio
City-wide,All energy produced (in MWh),,23,,2035,,100,,Present to City Council for consideration a Community Choice Aggregation (CCA) or another program that increases the renewable energy supply.,City of San Diego
City-wide,All electricity consumed (in MWh),2012,2104782.54,38,2030,2104782.54,100,64,"In December 2010, then-Mayor Gavin Newsom announced a new goal for San Francisco: to be completely powered by renewable energy in 10 years. In pursuit of this goal, Mayor Edwin Lee, together with his predecessor, established the Mayor’s Renewable Energy Task Force in January 2011, with the directive to develop recommendations for the City and County of San Francisco to achieve a fully renewable electricity supply for San Francisco. The Task Force, comprising local clean energy leaders, business and community stakeholders, and relevant City departments met nearly monthly from January 2011 through May 2012 to examine local and regional barriers to and opportunities for renewable energy, including policy, regulatory, technical, financial, and public awareness aspects. The Task Force produced a recommendation report that was released in September 2012. This report reflects the Task Force’s discussions and recommendations for meeting the City’s 100% renewable energy goal. The report can be viewed and downloaded here: http://www.sfenvironment.org/sites/default/files/fliers/files/sfe_re_renewableenergytaskforcerecommendationsreport.pdf",City of San Francisco
City-wide,All electricity consumed (in MWh),2017,1536969,33,2050,4750228,100,33,"San José Clean Energy (SJCE), the city’s new Community Choice Aggregation organization, supplied 48% renewable energy in 2018 (operation begun September 1, 2018). The renewable sources were primarily solar, with some wind and geothermal. In 2019, SJCE will supply a minimum of 45% renewable energy to its customers (again as a mixture of solar, wind, and geothermal). SJCE will steadily increase the fraction of renewable energy in its power mix over time, primarily by entering into long term power purchase agreements with newly constructed solar and wind power plants.",City of San José
Local government operations,Other: Energy Consumed for Municipal Facilities,2017,,30,2020,,50,,"On July 30, 2019, City Council adopted a Strategic Energy Plan (SEP) that aims to design innovative strategies to meet the City Council’s ambitious goal and identify resource needs required to develop renewable energy projects as well as innovative programs and policies that will facilitate the transition to renewable electricity. The City is also creating a new division with additional staff to manage implementation of the SEP. And finally, on July 30, 2019, City Council approved a Community Choice Energy program that will launch 2021 and include a 100% renewable energy default option.","City of Santa Barbara, CA"
Local government operations,Other: Energy Consumed for Municipal Facilities,2017,,30,2030,,100,,"On July 30, 2019, City Council adopted a Strategic Energy Plan (SEP) that aims to design innovative strategies to meet the City Council’s ambitious goal and identify resource needs required to develop renewable energy projects as well as innovative programs and policies that will facilitate the transition to renewable electricity. The City is also creating a new division with additional staff to manage implementation of the SEP. And finally, on July 30, 2019, City Council approved a Community Choice Energy program that will launch 2021 and include a 100% renewable energy default option.","City of Santa Barbara, CA"
City-wide,All electricity consumed (in MWh),2017,,,2030,,100,,"On July 30, 2019, City Council adopted a Strategic Energy Plan (SEP) that aims to design innovative strategies to meet the City Council’s ambitious goal and identify resource needs required to develop renewable energy projects as well as innovative programs and policies that will facilitate the transition to renewable electricity. The City is also creating a new division with additional staff to manage implementation of the SEP. And finally, on July 30, 2019, City Council approved a Community Choice Energy program that will launch 2021 and include a 100% renewable energy default option.","City of Santa Barbara, CA"
Local government operations,Other: % of building electricity demand met by solar PV and methane capture,2008,5703326,23,2020,33,33,90,"we have a 3 phase municipal investment strategy running thru 2020;if all area completed, we will reach 38% of building energy met with renewables.","City of Santa Cruz, CA"
City-wide,All electricity produced (in MWh),2015,900000,25,2030,900000,100,90,Community Choice Aggregation,City of Santa Monica
City-wide,All energy produced (in MWh),2003,0,0,2045,,100,0,efficiency upgrades and solar investments,City of Sarasota
Local government operations,All energy produced (in MWh),2003,0,0,2030,,100,0,efficiency upgrades and solar investments,City of Sarasota
City-wide,Total installed capacity of renewable energy (in MW),,,0,,,10,0,"The Low Emissions Community Plan to be presented and available for public consumption in August 2019 includes a variety of renewable energy generation actions that if approved, funded and implemented would exceed the 10% renewable energy target by 2050.",City of Saskatoon
City-wide,All electricity produced (in MWh),,,,2020,1609000,15,52,"The Energy Independence Act, known as Initiative 937, was approved by voters in 2006. It requires state electric utilities serving 25,000 or more customers to obtain at least 15 percent of their electricity from new renewable resources by 2020 and undertake all cost-effective energy conservation.For energy conservation, I-937 requires each covered utility to identify its achievable, cost-effective conservation potential over a 10-year period, starting in 2010-2011. Utilities must update those assessments at least every two years.Seattle City Light is meeting or exceeding each of these requirements. For 2010-2011, City Light's energy conservation target was 172,397 megawatt-hours. City Light achieved 267,813 megawatt-hours of energy savings, exceeding the target by 55 percent.On the new renewable energy front, City Light has contracts in place to meet I-937's escalating requirements through 2019, measured in terms of renewable energy credits. One credit is created for every megawatt-hour of new, renewable energy produced. In 2020, City Light's target rises to 1,609,000 renewable energy credits. City Light has 836,000 renewable energy credits in place for 2020 and has eight years before that deadline to acquire the rest.",City of Seattle
Local government operations,All electricity consumed (in MWh),2009,,,2030,,100,,,"City of South Miami, FL"
City-wide,All energy produced (in MWh),,,,2035,,100,,"he Board of Aldermen of the City of St. Louis authorizes the City’s Sustainability Plan and calls for the City to commit to transition to 100 percent clean energy in the form of wind and solar and energy efficiency measures within the electricity sector by 2035.The Board of Aldermen requests that the City develops a plan by December 2018 to meet the clean energy goal through a transparent and inclusive stakeholder process which includes community members as well as representatives from organizations representing labor, faith, social justice, environmental justice, frontline communities and those most impacted by our current energy systems, public health and the environment, economic development, utility sector, clean energy sector, universities and academic institutions, business, housing, employment services, low income advocates, government, and any other relevant groups.",City of St Louis
City-wide,All electricity consumed (in MWh),2016,,0.02,2035,,,,Clean Energy Roadmap pathways - early actions and investments and evolved technology and more proactive voice with state PSC and energy provider.,City of St. Petersburg
City-wide,All electricity produced (in MWh),2006,150000,15,2020,725000,15,100,"Through continued successful conservation programs and purchase of RECs, Tacoma Power anticipates meeting goals through 2024.",City of Tacoma
City-wide,Total installed capacity of renewable energy (in MW),,,,,,,,,City of Tacoma
Local government operations,All electricity consumed (in MWh),1999,,100,2016,100,100,,,"City of Takoma Park, MD"
Local government operations,Total installed capacity of renewable energy (in MW),2018,100,10,2035,40,100,10,Solar projects installed at city facilities and utility scale solar partnerships with utilities,"City of Tempe, AZ"
,,,,,,,,,,City of Thunder Bay
City-wide,Other: 75% of community-wide energy,1990,,,2050,,75,17,"1.  Advancement on Community Energy Planning:  maximize the potential for Community Energy Planning preparation and implementation for all new major developments and revitalization areas, exploring net-zero CEPs whenever possible2.  Advance low-energy/renewable district energy networks:  significantly scale up the development of thermal energy networks and map low carbon/renewable energy sources across Toronto3.  Create a renewable energy strategy:  Advance the city-wide adoption of clean, renewable energy technologies such as solar PV, wind and geo-exchange through a comprehensive long term strategy developed with industry stakeholders.",City of Toronto
Local government operations,Total installed capacity of renewable electricity (in MW),1990,0,0,2017,24,,35,100 solar PV installations on City-owned properties generating 12 megawatts of electricity per year,City of Toronto
City-wide,All energy consumed (in MWh),2014,16500000,32,2050,11000000,100,32,"Vancouver’s Renewable City Strategy has set a target to derive 100% of Vancouver’s energy use from renewable sources before 2050. This encompasses community-wide energy use in buildings and transportation and envisions a shift to renewable electricity, biofuels, and neighbourhood energy systems. Total target-year energy total given (11,000,000 MWh) is an economically modelled figure based on energy prices and expected demands based on City policy. The final total includes BAU growth component, offset by significant efficiency improvements and increases in renewables supply and use.",City of Vancouver
City-wide,All energy consumed (in MWh),2007,8821882,36.6,2050,8821882,100,41,"Removal of oil heated furnaces. Energy efficiency and low carbon retrofit incentives. Fuel switching to renewable sources such as hydro electricity, renewable natural gas and biofuels. Support for distributed renewable energy, e.g. photovoltaic solar. Support for renewable district energy projects. Support for transportation mode shift to cycling and walking and renewably powered transit.",City of Victoria
Local government operations,All energy consumed (in MWh),2008,,,2035,,100,,"Continued energy efficiency retrofits, onsite renewable energy generation, transition to clean energy fleet vehicles, participate in community choice aggregation",City of West Hollywood
City-wide,Total installed capacity of renewable electricity (in MW),2014,11,0,2041,90,35,68.6,"This target is only for solar, however the plan encourages other sources but does not specify targets. The City of Windsor supports the installation of solar PV on private and public buildings.  The City is looking at a number of larger installations on City buildings which will be net metered.  City of Windsor leased property on the City airport lands for the installation of a 50MW solar farm which began operation in 2016.",City of Windsor
,,,,,,,,,,"City of Winona, MN"
City-wide,All electricity consumed (in MWh),2012,,6.7,2032,,100,27.2,"The District's Comprehensive Energy Plan: Clean Energy DC, was finalized in August 2018 and provides recommendations to increase the use of renewable energy. On March 22, 2019, the District's Clean Energy DC Omnibus Amendment Act of 2018 became law, which enacted the most recent update to the city's Renewable Portfolio Standard, strengthening it to require 100% of electricity come from renewable sources by 2032, including 5.5% from local solar. The law also sets a longer-term local solar generation target of meeting 10% of electricity usage with local solar by 2041.  The RPS standard was put in place in 2005 and updated in 2008, 2011, and 2016. The 2016 amendment, known as the Renewable Portfolio Standard Expansion Amendment Act of 2016 also created a funding mechanism for the Solar for All program, which establishes a goal of putting solar on 100,000 low income households in the District. In 2017, more than 13.6% of total electricity use in the District was supplied by renewable energy, however this is a conservative and likely underestimation, as it only captures the compliance market. There is also a voluntary renewable market, which we have not reported here as we suspect there is some overlap between the two, and we erred on the side of not double-counting that generation.",District of Columbia
Local government operations,All electricity consumed (in MWh),,,,2025,,100,0,"Erie County is researching different ways to fulfill its renewable energy goals, including using the solar energy power purchase agreement procurement process underway with the REV Campus Challenge, described here: http://www.buffalo.edu/sustainability/keyinitiatives/rev-campus-challenge.html.  Erie County is one of five key stakeholders for the REV Campus Challenge.","Erie County, NY"
Local government operations,All electricity produced (in MWh),2000,0,0,2021,295347,100,0.55,"Local electric utility (IOU) has had a tariff request to the State of Missouri Public Service Commission approved to allow increases in renewable energy sources for electricity and allowance to contract with large customers for purchase of 100% wind-sourced electric power. An agreement to purchase that electricity has been negotiated and agreements have been executed. 100% renewable energy for electricity for municipal operations is expected to be available by 2021-2022. This represents about 74% of total GHG emissions that will, within three years, be carbon-free.  Actions approved by Resolution #181000 which established a target of carbon free electricity for municipal operations by 12/31/2020, and  Resolution #180475 which established a target of 100% clean and renewable energy community-wide as soon as feasible and sector by setting sector targets for 100% clean and renewable electricity and an inclusive climate action planning process by 2020.",Kansas City
Local government operations,All electricity consumed (in MWh),2019,521,3,2041,310000,100,3,"An ordinance has just created a renewable energy portfolio standard program for the Metropolitan Government.The program would begin in 2020, with total carbon-free energy usage standard of at least 53%. This portion would include no less than 20% from “tier one” renewable sources such as solar energy, wind energy, methane, geothermal, ocean, fuel cells charged from such sources, and raw or treated wastewater. Further, the carbon-free energy portion shall consist of at least 2.5% from “tier two” renewable sources such as hydroelectric power or waste-to-energy, and at least 1% from solar energy. The carbon-free energy portion would gradually increase each year, ultimately meeting the goal of 100% carbon-free energy usage in 2041. This ordinance further encourages  Metro to increase its share of ownership in community-based solar programs within Davidson County and any incentives offered by Nashville Electric Service to increase renewable energy sources when available. A strategic plan for achieving the renewable energy portfolio standard will be developed by July 1, 2020. https://www.nashville.gov/Metro-Clerk/Legislative/Ordinances/Details/d30e0174-6c6b-45d8-b93a-05b5d285c76e/2015-2019/BL2019-1600.aspxProjecting the electricity demand in MWh covered by target in 2041 is challenging since planned energy retrofits of city buildings will lower demand, while anticipated population growth  will lead to more city buildings being constructed.  The 310,000 MWh demand in 2041 is an approximation, taking into account these varying factors.",Metropolitan Government of Nashville and Davidson County
City-wide,Total installed capacity of renewable electricity (in MW),2016,78,0.02,2030,1000,,7.8,"Our target is made in terms of installed capacitynot as a percentage of total electricityproduction. Target: 1,000 MW of solar capacityinstalled by 2030. (Source: http://www1.nyc.gov/office-of-the-mayor/news/767-16/climate-week-solar-power-nyc-nearly-quadrupled-since-mayor-de-blasio-took-office-and)",New York City
Local government operations,Total installed capacity of renewable energy (in MW),2014,1,0,2025,100,,9,Our target is made in terms of installed capacitynot as a percentage of total electricityproduction. Target: 100 MW of solar capacityinstalled on City owned property by 2025. (Source: http://www1.nyc.gov/office-of-the-mayor/news/767-16/climate-week-solar-power-nyc-nearly-quadrupled-since-mayor-de-blasio-took-office-and),New York City
City-wide,Total installed capacity of renewable electricity (in MW),2017,22.47,1.8,2050,1250,100,2,Renewable energy plans will developed along with the Climate Action Plan in the coming year. The plan will focus mostly on solar as that is the largest opportunity although there may be a role for small scale hydro and wind power development.,"Orange County, NC"
City-wide,All electricity consumed (in MWh),2015,100,13,2030,100,100,20,The Community Renewable Energy Act (H.B. 411) was adopted by the Utah legislature in 2019.  This bill authorizes our investor-owned electric utility to serve participating communities with a net-100% renewable electricity mix by 2030.  More details are available here: https://www.slc.gov/sustainability/100-renewable-energy-community-goal/,Salt Lake City
,,,,,,,,,,"Snoqualmie, WA"
Local government operations,Total installed capacity of renewable energy (in MW),,,,2032,,100,12,Approx 12% of County's current operational load is supplied by rooftop solar PV installed on county buildings.  Currently in negotiations and procurement process with utility to procure balance of energy load with net measured 100% renewable energy by 2032.,"Summit County, UT"
Local government operations,All electricity consumed (in MWh),2017,,,2025,,100,65,"on-site solar, solar program subscriptions through utility, utility grid improvements","Town of Breckenridge, CO"
City-wide,All energy consumed (in MWh),,,,2030,,,,"The Town's goal is to meet the equivalent of 100% of it's energy needs with renewable sources in the electricity, heating and transportation sectors.","Town of East Hampton, NY"
Local government operations,All energy consumed (in MWh),2009,6446,0,,,10,,,Town of Ithaca
City-wide,All energy produced (in MWh),2012,450000,0,2040,,100,26,Extend Community Choice Aggregation program providing 100% renewable electricity from residential customers to commercial customers.,"Town of Lexington, MA"
City-wide,All electricity consumed (in MWh),2016,78,0.000256259,2030,1000,0.00328537,0.000256259,,New York City
